연도,단원형태,국가명,파견직종,파견분야,인원
2026,일반봉사단,가나,유아교육,교육,2
2026,일반봉사단,가나,전기/전력,기술환경에너지,1
2026,일반봉사단,가나,체육교육(일반),교육,1
2026,일반봉사단,가나,컴퓨터교육(일반),교육,1
2026,일반봉사단,가나,한국어교육(일반),교육,1
2026,일반봉사단,네팔,관광,공공행정,1
2026,일반봉사단,네팔,사회복지,공공행정,1
2026,일반봉사단,네팔,유아교육,교육,1
2026,일반봉사단,네팔,임상병리,보건의료,1
2026,일반봉사단,네팔,자동차,기술환경에너지,1
2026,일반봉사단,네팔,초등교육,교육,2
2026,일반봉사단,네팔,특수교육,교육,1
2026,일반봉사단,네팔,한국어교육(일반),교육,2
2026,일반봉사단,도미니카공화국,간호,보건의료,2
2026,일반봉사단,도미니카공화국,미술교육,교육,2
2026,일반봉사단,도미니카공화국,음악교육,교육,1
2026,일반봉사단,도미니카공화국,특수교육,교육,1
2026,일반봉사단,동티모르,간호,보건의료,1
2026,일반봉사단,동티모르,공공행정 일반,공공행정,2
2026,일반봉사단,동티모르,관광,공공행정,1
2026,일반봉사단,동티모르,기계,기술환경에너지,1
2026,일반봉사단,동티모르,사서,교육,1
2026,일반봉사단,동티모르,유아교육,교육,1
2026,일반봉사단,동티모르,자동차,기술환경에너지,1
2026,일반봉사단,동티모르,전자,기술환경에너지,1
2026,일반봉사단,동티모르,청소년개발,교육,1
2026,일반봉사단,동티모르,컴퓨터교육(일반),교육,2
2026,일반봉사단,동티모르,한국어교육(EPS-TOPIK),교육,1
2026,일반봉사단,동티모르,한국어교육(일반),교육,5
2026,일반봉사단,라오스,간호,보건의료,3
2026,일반봉사단,라오스,미술교육,교육,1
2026,일반봉사단,라오스,미용교육,교육,1
2026,일반봉사단,라오스,방사선,보건의료,1
2026,일반봉사단,라오스,음악교육,교육,1
2026,일반봉사단,라오스,체육교육(일반),교육,2
2026,일반봉사단,라오스,체육교육(태권도),교육,1
2026,일반봉사단,라오스,컴퓨터교육(일반),교육,2
2026,일반봉사단,라오스,한국어교육(심화),교육,4
2026,일반봉사단,르완다,간호,보건의료,2
2026,일반봉사단,르완다,관광,공공행정,1
2026,일반봉사단,르완다,농업,농림수산,1
2026,일반봉사단,르완다,사회복지,공공행정,1
2026,일반봉사단,르완다,유아교육,교육,1
2026,일반봉사단,르완다,음악교육,교육,3
2026,일반봉사단,르완다,컴퓨터교육(일반),교육,1
2026,일반봉사단,르완다,특수교육,교육,1
2026,일반봉사단,모로코,기후/환경,기술환경에너지,1
2026,일반봉사단,모로코,디지털미디어,공공행정,1
2026,일반봉사단,모로코,미술교육,교육,1
2026,일반봉사단,모로코,보건의료 일반,보건의료,2
2026,일반봉사단,모로코,사회복지,공공행정,2
2026,일반봉사단,모로코,섬유/의류,기술환경에너지,1
2026,일반봉사단,모로코,요리,교육,1
2026,일반봉사단,모로코,유아교육,교육,1
2026,일반봉사단,모로코,청소년개발,교육,2
2026,일반봉사단,모로코,컴퓨터교육(일반),교육,1
2026,일반봉사단,모로코,한국어교육(일반),교육,8
2026,일반봉사단,몽골,디지털미디어,공공행정,1
2026,일반봉사단,몽골,사회복지,공공행정,1
2026,일반봉사단,몽골,섬유/의류,기술환경에너지,1
2026,일반봉사단,몽골,수학교육,교육,1
2026,일반봉사단,몽골,요리,교육,1
2026,일반봉사단,몽골,음악교육,교육,1
2026,일반봉사단,몽골,자동차,기술환경에너지,1
2026,일반봉사단,몽골,특수교육,교육,1
2026,일반봉사단,몽골,한국어교육(일반),교육,8
2026,일반봉사단,방글라데시,한국어교육(EPS-TOPIK),교육,3
2026,일반봉사단,방글라데시,한국어교육(일반),교육,6
2026,일반봉사단,베트남,간호,보건의료,2
2026,일반봉사단,베트남,관광,공공행정,1
2026,일반봉사단,베트남,국제개발,공공행정,1
2026,일반봉사단,베트남,농업,농림수산,1
2026,일반봉사단,베트남,유아교육,교육,2
2026,일반봉사단,베트남,전기/전력,기술환경에너지,1
2026,일반봉사단,베트남,체육교육(태권도),교육,1
2026,일반봉사단,베트남,한국어교육(심화),교육,1
2026,일반봉사단,베트남,한국어교육(일반),교육,13
2026,일반봉사단,볼리비아,간호,보건의료,4
2026,일반봉사단,볼리비아,기후/환경,기술환경에너지,1
2026,일반봉사단,볼리비아,신문/방송,공공행정,1
2026,일반봉사단,볼리비아,치위생,보건의료,1
2026,일반봉사단,볼리비아,컴퓨터교육(일반),교육,4
2026,일반봉사단,볼리비아,한국어교육(일반),교육,2
2026,일반봉사단,세네갈,기계,기술환경에너지,1
2026,일반봉사단,세네갈,유아교육,교육,2
2026,일반봉사단,스리랑카,자동차,기술환경에너지,1
2026,일반봉사단,스리랑카,전기/전력,기술환경에너지,1
2026,일반봉사단,스리랑카,컴퓨터교육(일반),교육,2
2026,일반봉사단,스리랑카,한국어교육(EPS-TOPIK),교육,3
2026,일반봉사단,스리랑카,한국어교육(일반),교육,5
2026,일반봉사단,에콰도르,간호,보건의료,1
2026,일반봉사단,에콰도르,국제개발,공공행정,1
2026,일반봉사단,에콰도르,사회복지,공공행정,2
2026,일반봉사단,에콰도르,음악교육,교육,2
2026,일반봉사단,에콰도르,한국어교육(일반),교육,3
2026,일반봉사단,에티오피아,간호,보건의료,2
2026,일반봉사단,에티오피아,물리치료,보건의료,1
2026,일반봉사단,에티오피아,보건의료 일반,보건의료,1
2026,일반봉사단,에티오피아,사회복지,공공행정,2
2026,일반봉사단,에티오피아,체육교육(일반),교육,1
2026,일반봉사단,에티오피아,한국어교육(일반),교육,1
2026,일반봉사단,엘살바도르,간호,보건의료,1
2026,일반봉사단,엘살바도르,기술환경에너지 일반,기술환경에너지,1
2026,일반봉사단,엘살바도르,자동차,기술환경에너지,1
2026,일반봉사단,엘살바도르,컴퓨터교육(심화),교육,1
2026,일반봉사단,엘살바도르,한국어교육(일반),교육,1
2026,일반봉사단,요르단,전기/전력,기술환경에너지,2
2026,일반봉사단,요르단,한국어교육(일반),교육,2
2026,일반봉사단,우간다,식품가공,농림수산,1
2026,일반봉사단,우간다,음악교육,교육,1
2026,일반봉사단,우즈베키스탄,컴퓨터교육(일반),교육,1
2026,일반봉사단,이집트,미술교육,교육,2
2026,일반봉사단,이집트,사회복지,공공행정,1
2026,일반봉사단,이집트,체육교육(일반),교육,1
2026,일반봉사단,이집트,체육교육(태권도),교육,1
2026,일반봉사단,이집트,컴퓨터교육(심화),교육,1
2026,일반봉사단,이집트,컴퓨터교육(일반),교육,4
2026,일반봉사단,이집트,한국어교육(일반),교육,13
2026,일반봉사단,인도네시아,컴퓨터교육(심화),교육,1
2026,일반봉사단,인도네시아,한국어교육(일반),교육,1
2026,일반봉사단,카메룬,간호,보건의료,1
2026,일반봉사단,카메룬,보건의료 일반,보건의료,1
2026,일반봉사단,카메룬,한국어교육(심화),교육,1
2026,일반봉사단,캄보디아,간호,보건의료,3
2026,일반봉사단,캄보디아,디지털미디어,공공행정,1
2026,일반봉사단,캄보디아,미용교육,교육,1
2026,일반봉사단,캄보디아,유아교육,교육,1
2026,일반봉사단,캄보디아,음악교육,교육,1
2026,일반봉사단,캄보디아,자동차,기술환경에너지,2
2026,일반봉사단,캄보디아,한국어교육(심화),교육,3
2026,일반봉사단,캄보디아,한국어교육(일반),교육,7
2026,일반봉사단,코트디부아르,컴퓨터교육(심화),교육,1
2026,일반봉사단,콜롬비아,국제개발,공공행정,1
2026,일반봉사단,콜롬비아,농업,농림수산,1
2026,일반봉사단,콜롬비아,물리치료,보건의료,1
2026,일반봉사단,콜롬비아,유아교육,교육,1
2026,일반봉사단,콜롬비아,음악교육,교육,1
2026,일반봉사단,콜롬비아,청소년개발,교육,1
2026,일반봉사단,콜롬비아,축산,농림수산,1
2026,일반봉사단,콜롬비아,컴퓨터교육(심화),교육,2
2026,일반봉사단,콜롬비아,한국어교육(일반),교육,5
2026,일반봉사단,키르기스스탄,간호,보건의료,1
2026,일반봉사단,키르기스스탄,요리,교육,1
2026,일반봉사단,키르기스스탄,청소년개발,교육,1
2026,일반봉사단,키르기스스탄,한국어교육(일반),교육,6
2026,일반봉사단,탄자니아,간호,보건의료,1
2026,일반봉사단,탄자니아,과학교육,교육,1
2026,일반봉사단,탄자니아,디지털미디어,공공행정,1
2026,일반봉사단,탄자니아,임상병리,보건의료,1
2026,일반봉사단,태국,디지털미디어,공공행정,1
2026,일반봉사단,태국,한국어교육(심화),교육,1
2026,일반봉사단,태국,한국어교육(일반),교육,16
2026,일반봉사단,튀니지,물리치료,보건의료,1
2026,일반봉사단,튀니지,미술교육,교육,1
2026,일반봉사단,튀니지,작업치료,보건의료,1
2026,일반봉사단,튀니지,한국어교육(일반),교육,5
2026,일반봉사단,파라과이,간호,보건의료,1
2026,일반봉사단,파라과이,미술교육,교육,1
2026,일반봉사단,파라과이,미용교육,교육,1
2026,일반봉사단,파라과이,음악교육,교육,1
2026,일반봉사단,파라과이,전기/전력,기술환경에너지,1
2026,일반봉사단,파라과이,전자,기술환경에너지,1
2026,일반봉사단,파라과이,제과/제빵,교육,1
2026,일반봉사단,파라과이,지역개발,농림수산,1
