"Category","최빈국(LDCs)","기타저소득국(LICs)","중저소득국(LMICs)","고중소득국(UMICs)","미분류"
"2014",161384286,6323505,171606304,63127367,64903804
"2015",173436309,5191265,180557015,57935596,66359423
"2016",170925635,7064213,185545922,59035947,101544798
"2017",187638033,7842247,170320198,57528155,137458887
"2018",206239376,323245,201760130,67912888,143045498
"2019",226832065,351640,219511600,74295047,127756043
"2020",173734248,7365901,182958391,46283465,164414064
"2021",183411371,11043962,212849090,62632487,161049159
"2022",204009887,12818444,187321902,58798450,159995217
"2023",241258520,,226708220,99861241,163886536
