사업번호,보고년도,보고국가/기관,자료제출기관,CRS번호,대륙명,수원국,사업실시기관,사업실시기관코드,사업실시기관명,사업구분,양자/다자간 구분,자금구분,자금형태,원조유형,원조유형코드,사업명(한글),사업명(영문),사업분야,사업분야코드,SDGs,사업개시(예정)일,사업완공(예정)일,사업설명,성평등,환경 지원,민주적/포용적 거버넌스,무역개발,모자보건증진,재난위험경감,장애인권리,영양,기술협력,기술협력 세부항목,분야별 프로그램 원조,프로젝트 원조,혼합신용,생물의 다양성,기후변화 완화,기후변화 적응,사막화,"약정액
[백만달러]","지출액
[백만달러]","회수액
[백만달러]","순지출액
[백만달러]","증여등가액
[백만달러]","비구속성 금액
[백만달러]","부분 비구속성 금액
[백만달러]","구속성 금액
[백만달러]",투자관련기술협력 금액[USD],"수출신용 금액
[USD]",약정일,상환방식,연간상환횟수,이자율,최초상환일,최종상환일,"이자수취액
[USD]","차관잔액
[USD]","연체원금
[USD]","연체이자
[USD]","차년도 상환원금
[USD]","차년도 지불이자
[USD]"
2022010102107,2023,대한민국,한국국제협력단(KOICA),2022002107,아프리카 > 아프리카 미배분,아프리카 지역 (미배분),UN 기구 기타 (Other UN),41000,유엔지역간범죄처벌조사기관,"기존약정(당해 증액, 감액, 지출 발생) 사업",양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",프로젝트 원조,C01,"(분쟁취약) 사헬지역(모리타니아, 말리, 니제르) 젠더기반차별 및 폭력적 극단주의 예방 사업(UNICRI)(`22-`24/54만불)",Gender-based Discrimination and Prevention of Violent Extremism (PVE) in the Sahel,민간주도의 분쟁예방,15220,5.1; 16.a,2022-01-01,2024-12-31,"사헬지역(모리타니아, 말리, 니제르) 내 젠더기반차별 및 폭력적 극단주의 확산 예방을 위해 해당 지역 조사 및 기본 데이터를 수집하여, 행동중심 연구보고서 작성 및 인식 제고/개선 워크숍을 개최하며, 조사내용 기반 시민사회관계자 및 정부 관계자 대상 역량 강화 추진",관련내용이 주요(1차적) 목적인 경우,해당사항 없음,관련내용이 부수적(2차적) 목적인 경우,NA,해당사항 없음,해당사항 없음,NA,NA,NA,NA,NA,1,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,NA,0.239046,NA,0.239046,0.239046,0,0,0,NA,NA,2022-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022040102514,2023,대한민국,한국국제협력단(KOICA),2022001182,아시아 > 극동 아시아,인도네시아,그밖의 공공단체,11004,한국국제협력단,"기존약정(당해 증액, 감액, 지출 발생) 사업",양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",개도국 유학생 및 연수생 지원,E01,석사학위-젠더개발학 석사학위연수(2022),Master's Degree Program in Gender and Development(2022),여성폭력 근절,15180,5.1,2022-01-01,2024-12-31,양성평등 목표의 단독성 및 범분야적 특성을 고려하여 이론적 바탕과 실무 역량을 갖춘 인재를 양성함으로써 개도국 내 성인지적 제도 및 정책 구축에 기여 국가개발과정에서 관련 부처 등 공공분야 전반에서 자국의 양성평등 정책을 수립실행평가할 수 있는 전문성과 리더십을 동시에 배양할 수 있음 한국에 우호적인 개도국 지도자 양성을 통한 우리나라의 국제적 영향력 확대,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,개도국 유학생 및 연수생 지원,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.013037,0.013037,NA,0.013037,0.013037,0,0,0.013037,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022040102522,2023,대한민국,한국국제협력단(KOICA),2022001179,아시아 > 서남 및 중앙아시아,네팔,그밖의 공공단체,11004,한국국제협력단,"기존약정(당해 증액, 감액, 지출 발생) 사업",양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",개도국 유학생 및 연수생 지원,E01,석사학위-젠더개발학 석사학위연수(2022),Master's Degree Program in Gender and Development(2022),여성폭력 근절,15180,5.1,2022-01-01,2024-12-31,양성평등 목표의 단독성 및 범분야적 특성을 고려하여 이론적 바탕과 실무 역량을 갖춘 인재를 양성함으로써 개도국 내 성인지적 제도 및 정책 구축에 기여 국가개발과정에서 관련 부처 등 공공분야 전반에서 자국의 양성평등 정책을 수립실행평가할 수 있는 전문성과 리더십을 동시에 배양할 수 있음 한국에 우호적인 개도국 지도자 양성을 통한 우리나라의 국제적 영향력 확대,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,개도국 유학생 및 연수생 지원,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.006519,0.006519,NA,0.006519,0.006519,0,0,0.006519,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022040102524,2023,대한민국,한국국제협력단(KOICA),2022001172,아시아 > 극동 아시아,필리핀,그밖의 공공단체,11004,한국국제협력단,"기존약정(당해 증액, 감액, 지출 발생) 사업",양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",개도국 유학생 및 연수생 지원,E01,석사학위-젠더개발학 석사학위연수(2022),Master's Degree Program in Gender and Development(2022),여성폭력 근절,15180,5.1,2022-01-01,2024-12-31,양성평등 목표의 단독성 및 범분야적 특성을 고려하여 이론적 바탕과 실무 역량을 갖춘 인재를 양성함으로써 개도국 내 성인지적 제도 및 정책 구축에 기여 국가개발과정에서 관련 부처 등 공공분야 전반에서 자국의 양성평등 정책을 수립실행평가할 수 있는 전문성과 리더십을 동시에 배양할 수 있음 한국에 우호적인 개도국 지도자 양성을 통한 우리나라의 국제적 영향력 확대,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,개도국 유학생 및 연수생 지원,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.006519,0.006519,NA,0.006519,0.006519,0,0,0.006519,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022040102527,2023,대한민국,한국국제협력단(KOICA),2022001175,아시아 > 서남 및 중앙아시아,스리랑카,그밖의 공공단체,11004,한국국제협력단,"기존약정(당해 증액, 감액, 지출 발생) 사업",양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",개도국 유학생 및 연수생 지원,E01,석사학위-젠더개발학 석사학위연수(2022),Master's Degree Program in Gender and Development(2022),여성폭력 근절,15180,5.1,2022-01-01,2024-12-31,양성평등 목표의 단독성 및 범분야적 특성을 고려하여 이론적 바탕과 실무 역량을 갖춘 인재를 양성함으로써 개도국 내 성인지적 제도 및 정책 구축에 기여 국가개발과정에서 관련 부처 등 공공분야 전반에서 자국의 양성평등 정책을 수립실행평가할 수 있는 전문성과 리더십을 동시에 배양할 수 있음 한국에 우호적인 개도국 지도자 양성을 통한 우리나라의 국제적 영향력 확대,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,개도국 유학생 및 연수생 지원,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.006519,0.006519,NA,0.006519,0.006519,0,0,0.006519,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022040102530,2023,대한민국,한국국제협력단(KOICA),2022001168,아프리카 > 사하라 이남 > 동부아프리카,부룬디,그밖의 공공단체,11004,한국국제협력단,"기존약정(당해 증액, 감액, 지출 발생) 사업",양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",개도국 유학생 및 연수생 지원,E01,석사학위-젠더개발학 석사학위연수(2022),Master's Degree Program in Gender and Development(2022),여성폭력 근절,15180,5.1,2022-01-01,2024-12-31,양성평등 목표의 단독성 및 범분야적 특성을 고려하여 이론적 바탕과 실무 역량을 갖춘 인재를 양성함으로써 개도국 내 성인지적 제도 및 정책 구축에 기여 국가개발과정에서 관련 부처 등 공공분야 전반에서 자국의 양성평등 정책을 수립실행평가할 수 있는 전문성과 리더십을 동시에 배양할 수 있음 한국에 우호적인 개도국 지도자 양성을 통한 우리나라의 국제적 영향력 확대,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,개도국 유학생 및 연수생 지원,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.006519,0.006519,NA,0.006519,0.006519,0,0,0.006519,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022040102532,2023,대한민국,한국국제협력단(KOICA),2022001170,아시아 > 극동 아시아,베트남,그밖의 공공단체,11004,한국국제협력단,"기존약정(당해 증액, 감액, 지출 발생) 사업",양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",개도국 유학생 및 연수생 지원,E01,석사학위-젠더개발학 석사학위연수(2022),Master's Degree Program in Gender and Development(2022),여성폭력 근절,15180,5.1,2022-01-01,2024-12-31,양성평등 목표의 단독성 및 범분야적 특성을 고려하여 이론적 바탕과 실무 역량을 갖춘 인재를 양성함으로써 개도국 내 성인지적 제도 및 정책 구축에 기여 국가개발과정에서 관련 부처 등 공공분야 전반에서 자국의 양성평등 정책을 수립실행평가할 수 있는 전문성과 리더십을 동시에 배양할 수 있음 한국에 우호적인 개도국 지도자 양성을 통한 우리나라의 국제적 영향력 확대,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,개도국 유학생 및 연수생 지원,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.006519,0.006519,NA,0.006519,0.006519,0,0,0.006519,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022040102535,2023,대한민국,한국국제협력단(KOICA),2022001162,아프리카 > 사하라 이남 > 중부아프리카,카메룬,그밖의 공공단체,11004,한국국제협력단,"기존약정(당해 증액, 감액, 지출 발생) 사업",양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",개도국 유학생 및 연수생 지원,E01,석사학위-젠더개발학 석사학위연수(2022),Master's Degree Program in Gender and Development(2022),여성폭력 근절,15180,5.1,2022-01-01,2024-12-31,양성평등 목표의 단독성 및 범분야적 특성을 고려하여 이론적 바탕과 실무 역량을 갖춘 인재를 양성함으로써 개도국 내 성인지적 제도 및 정책 구축에 기여 국가개발과정에서 관련 부처 등 공공분야 전반에서 자국의 양성평등 정책을 수립실행평가할 수 있는 전문성과 리더십을 동시에 배양할 수 있음 한국에 우호적인 개도국 지도자 양성을 통한 우리나라의 국제적 영향력 확대,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,개도국 유학생 및 연수생 지원,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.013037,0.013037,NA,0.013037,0.013037,0,0,0.013037,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022040102537,2023,대한민국,한국국제협력단(KOICA),2022001164,아메리카 > 남아메리카,페루,그밖의 공공단체,11004,한국국제협력단,"기존약정(당해 증액, 감액, 지출 발생) 사업",양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",개도국 유학생 및 연수생 지원,E01,석사학위-젠더개발학 석사학위연수(2022),Master's Degree Program in Gender and Development(2022),여성폭력 근절,15180,5.1,2022-01-01,2024-12-31,양성평등 목표의 단독성 및 범분야적 특성을 고려하여 이론적 바탕과 실무 역량을 갖춘 인재를 양성함으로써 개도국 내 성인지적 제도 및 정책 구축에 기여 국가개발과정에서 관련 부처 등 공공분야 전반에서 자국의 양성평등 정책을 수립실행평가할 수 있는 전문성과 리더십을 동시에 배양할 수 있음 한국에 우호적인 개도국 지도자 양성을 통한 우리나라의 국제적 영향력 확대,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,개도국 유학생 및 연수생 지원,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.006519,0.006519,NA,0.006519,0.006519,0,0,0.006519,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022040102539,2023,대한민국,한국국제협력단(KOICA),2022001166,아프리카 > 사하라 이남 > 서부아프리카,가나,그밖의 공공단체,11004,한국국제협력단,"기존약정(당해 증액, 감액, 지출 발생) 사업",양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",개도국 유학생 및 연수생 지원,E01,석사학위-젠더개발학 석사학위연수(2022),Master's Degree Program in Gender and Development(2022),여성폭력 근절,15180,4.3,2022-01-01,2024-12-31,양성평등 목표의 단독성 및 범분야적 특성을 고려하여 이론적 바탕과 실무 역량을 갖춘 인재를 양성함으로써 개도국 내 성인지적 제도 및 정책 구축에 기여 국가개발과정에서 관련 부처 등 공공분야 전반에서 자국의 양성평등 정책을 수립실행평가할 수 있는 전문성과 리더십을 동시에 배양할 수 있음 한국에 우호적인 개도국 지도자 양성을 통한 우리나라의 국제적 영향력 확대,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,개도국 유학생 및 연수생 지원,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.006519,0.006519,NA,0.006519,0.006519,0,0,0.006519,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
